,title,recommended_movies
5762,Analyze That,"['Analyze This', 'Police Academy: Mission to Moscow', 'Raw Deal', 'Bullet', 'Panic']"
5763,Empire,"['Sweet Nothing', 'The Code', 'Honeysuckle Rose', 'Super Fly', 'Commandments']"
5764,Adaptation.,"['Her Alibi', 'The Life of Emile Zola', 'Broadway Damage', 'Following', 'Delirious']"
5765,Equilibrium,"['Nineteen Eighty-Four', 'Star Trek: Generations', 'A Scanner Darkly', 'Rollerball', 'THX 1138']"
5766,My Kingdom,"['Honeysuckle Rose', 'Brighton Beach Memoirs', 'Sweet Nothing', 'Spin', 'How to Get Ahead in Advertising']"
5767,Soap Girl,"['Pastoral Symphony', 'Pajama Party', 'Stardom', 'Ice Castles', 'The Day of the Locust']"
5768,It All Starts Today,"['Jo Jo Dancer, Your Life Is Calling', 'The Subject Was Roses', 'The Truman Show', 'Tall Tale', 'The Inheritance']"
5769,Medea,"['The Night Visitor', 'The Virgin Spring', 'Empire of Passion', 'Revengers Tragedy', 'Lady Snowblood']"
5770,Scarlet Diva,"['Foxes', 'High Art', 'The Last American Virgin', 'Love Object', 'Last Tango in Paris']"
5771,Visitor Q,"['Honeysuckle Rose', 'Kabhi Khushi Kabhie Gham', 'The Story of the Last Chrysanthemum', 'Hard to Kill', 'Fudoh: The New Generation']"
5772,Bolero: Dance of Life,"['The Big Broadcast of 1938', 'Melody Time', 'Joseph and the Amazing Technicolor Dreamcoat', ""That's Entertainment, Part II"", 'The Sound of Music']"
5773,Urgh! A Music War,"['Only the Strong Survive', 'Calle 54', 'Phish: Bittersweet Motel', 'Melody Time', 'Just an American Boy']"
5774,Vabank,"['Normal Life', 'Stark Raving Mad', 'How to Get Ahead in Advertising', 'Honeysuckle Rose', 'Machine-Gun Kelly']"
5775,Varning för Jönssonligan,"['Torque', 'Century of the Dragon', 'The Little Rascals', 'American Me', 'Jönssonligan & DynamitHarry']"
5776,"Vernon, Florida","[""It's All True"", 'Fahrenhype 9/11', 'F for Fake', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection']"
5777,Escape to Victory,"['Grand Illusion', 'Von Richthofen and Brown', 'The Great Escape', 'Lifeboat', 'The Fighting Sullivans']"
5778,Whose Life Is It Anyway?,"['Executive Suite', 'Brass Target', 'Lust for Life', 'Harry and Tonto', 'The Barbarian Invasions']"
5779,Zoot Suit,"['La Bamba', 'Payday', 'Only the Strong Survive', 'The Country Girl', 'Moulin Rouge']"
5780,Alone in the Dark,"['Halloween', 'Black Christmas', 'Phenomena', 'Psycho II', 'City of Industry']"
5781,Android,"['The Revenge of Frankenstein', 'Solo', 'The Apartment', 'The Prize', 'Earth vs. the Flying Saucers']"
5782,Ace of Aces,"['Raining Stones', 'How to Get Ahead in Advertising', 'Honeysuckle Rose', 'Penitentiary II', 'The Inheritance']"
5783,Attack Force Z,"['Midway', 'A Self-Made Hero', 'The Fighting Sullivans', 'Rules of Engagement', 'Love Me Tender']"
5784,Attila flagello di Dio,"['Heartbreak Hotel', 'Asterix the Gaul', 'P.S. Your Cat Is Dead!', 'How to Get Ahead in Advertising', 'Mad Dog Time']"
5785,Author! Author!,"['Deathtrap', 'Snow days', 'Judy Berlin', 'Divine Secrets of the Ya-Ya Sisterhood', 'The Girl']"
5786,Barbarosa,"['Star Maps', ""Fathers' Day"", 'Tall Tale', 'Butterflies Are Free', 'The Man from Snowy River']"
5787,The Beast Within,"['Lipstick', 'Town Without Pity', 'Dahmer', 'Humanoids from the Deep', 'The Accused']"
5788,Best Friends,"['Snow days', 'All Over the Guy', 'The Ladies Man', 'La séparation', 'Edie & Pen']"
5789,The Best Little Whorehouse in Texas,"['Blazing Saddles', 'True Stories', ""L'associé"", 'Snow days', 'Destry Rides Again']"
5790,The Border,"['Touch of Evil', 'Night Falls on Manhattan', 'Walking Tall', 'Harlem Nights', 'The Big Easy']"
5791,The Party 2,"['The Party', 'A Little Romance', ""Say It Isn't So"", 'That Obscure Object of Desire', 'First Desires']"
5792,Brimstone & Treacle,"['The Proprietor', 'Slaves of New York', 'Wetherby', 'A Place in the Sun', 'Where Sleeping Dogs Lie']"
5793,Britannia Hospital,"['The Hospital', 'The Boys from Brazil', 'Jekyll and Hyde ... Together Again', 'American Splendor', 'The Proprietor']"
5794,Burden of Dreams,"['A Decade Under the Influence', 'Living in Oblivion', 'The Five Obstructions', 'A League of Ordinary Gentlemen', 'Demon Lover Diary']"
5795,Cannery Row,"['Love Finds Andy Hardy', '...All the Marbles', 'Song of the Thin Man', 'Travels with My Aunt', 'It Runs in the Family']"
5796,The Challenge,"['Samurai I: Musashi Miyamoto', 'The Sword of Doom', 'Harakiri', 'Teenage Mutant Ninja Turtles III', 'The Twilight Samurai']"
5797,Class of 1984,"['Death Wish 5: The Face of Death', 'WiseGirls', 'Switchblade Sisters', 'The Principal', 'The Substitute']"
5798,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean","['AKA', 'Possible Worlds', 'Riff-Raff', 'The Road Home', 'Hurlyburly']"
5799,Danton,"['Gay Purr-ee', 'The Scarlet Pimpernel', 'The Return of Martin Guerre', 'East/West', 'The Last of the Mohicans']"
5800,Deathtrap,"['Dark Passage', 'Dial M for Murder', 'The Girl', 'Song of the Thin Man', 'The Weight of Water']"
5801,The Man Who Saves The World,"['Flash Gordon Conquers the Universe', 'A Trip to the Moon', 'Teenagers from Outer Space', 'Journey to the Far Side of the Sun', 'Hearts and Minds']"
5802,Eating Raoul,"['Bride of Chucky', 'Ebola Syndrome', 'Autopsy', 'Soft Toilet Seats', 'The Weight of Water']"
5803,Drumline,"['Snow days', 'Purple Rain', 'A Smile Like Yours', 'The Love Letter', 'Guantanamera']"
5804,The Hot Chick,"['18 Again!', 'Like Father Like Son', 'I Never Promised You a Rose Garden', 'All I Wanna Do', 'Not Another Teen Movie']"
5805,Maid in Manhattan,"['California Suite', 'Grand Hotel', 'The Million Dollar Hotel', 'The Incredibly True Adventure of Two Girls In Love', 'Guest House Paradiso']"
5806,Star Trek: Nemesis,"['Star Trek: Insurrection', 'Star Trek: First Contact', 'Star Trek V: The Final Frontier', 'Star Trek: Generations', 'Star Trek III: The Search for Spock']"
5807,About Schmidt,"['Honeysuckle Rose', 'Enemies: A Love Story', 'The Inheritance', 'Intersection', 'Rembrandt']"
5808,El Bola,"['The Cookout', 'Across the Sea of Time', 'The Inheritance', 'American Me', 'Spin']"
5809,Evelyn,"['Rocket Gibraltar', 'Honeysuckle Rose', 'The Inheritance', 'Harry and Tonto', ""National Lampoon's Christmas Vacation""]"
5810,The Guys,"['Und keiner weint mir nach', 'Diebinnen', 'Love and Anarchy', 'Cradle Will Rock', ""11'09''01 - September 11""]"
5811,Intacto,"['Guantanamera', 'Not Love, Just Frenzy', 'Brainscan', 'Running on Karma', 'Masques']"
5812,The Jimmy Show,"['Comedian', 'The Cookout', 'The Visit', 'Better Living', 'Dummy']"
5813,Morvern Callar,"['Went to Coney Island on a Mission from God... Be Back by Five', 'Love Liza', 'The Proprietor', 'Slaves of New York', 'A Rumor of Angels']"
5814,The Lord of the Rings: The Two Towers,"['The Lord of the Rings', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Return of the King', 'The Guns of Navarone', 'Herbie Goes Bananas']"
5815,Devils on the Doorstep,"['Mean Machine', ""Some Mother's Son"", 'Prison', 'Penitentiary', 'In Hell']"
5816,25th Hour,"['Female Prisoner Scorpion: Jailhouse 41', 'Mean Machine', 'Ariel', 'Johnny Handsome', 'Bullet']"
5817,Antwone Fisher,"[""Jason's Lyric"", 'Garden State', 'The Inheritance', 'Nicholas Nickleby', 'Nothing in Common']"
5818,Gangs of New York,"['American Me', 'I Stand Alone', 'Blue Sky', 'Sonny', 'Stripes']"
5819,Two Weeks Notice,"[""I'm with Lucy"", 'A Room with a View', 'Maybe Baby', 'Children Of The Night', 'Wendigo']"
5820,The Wild Thornberrys Movie,"['Creature Comforts', 'Hatari!', 'Once Upon a Forest', 'Spirit: Stallion of the Cimarron', 'The Chipmunk Adventure']"
5821,Narc,"['48 Hrs.', 'Shakedown', 'Beverly Hills Cop II', 'Song of the Thin Man', 'The Big Easy']"
5822,Bad Influence,"['Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Charlotte Sometimes', 'Following', 'The Underneath', 'Hanky Panky']"
5823,Blue Steel,"['Desperate Hours', 'The Postman Always Rings Twice', 'The Thin Man Goes Home', 'Forced Vengeance', ""Breakin'""]"
5824,Body of Evidence,"['The Girl', 'The Postman Always Rings Twice', 'Desperate Hours', 'Song of the Thin Man', 'Liebestraum']"
5825,The Children's Hour,"['The Proprietor', 'Slaves of New York', 'Home Room', 'To Sir, with Love', 'Light It Up']"
5826,Company Business,"['Desperate Hours', 'Agent Cody Banks', 'Delta Force 2: The Colombian Connection', 'The Russia House', 'Enigma']"
5827,The Duellists,"['War and Peace', 'Waterloo', 'The Pride and the Passion', 'The Proprietor', 'Slaves of New York']"
5828,A Kiss Before Dying,"['A Kiss Before Dying', 'Daddy and Them', 'The Divorcee', 'In the Navy', 'Deathtrap']"
5829,Legend of the Lost,"['The Proprietor', 'Slaves of New York', 'The Abominable Snowman', ""King Solomon's Mines"", 'The Sheltering Sky']"
5830,Miami Blues,"['Curdled', 'Code of Silence', 'Shakedown', 'Chronicles', 'Boiler Room']"
5831,My Girl 2,"['My Father the Hero', 'Christmas with the Kranks', 'Max Dugan Returns', 'Uncle Nino', ""Virginia's Run""]"
5832,My Girl,"['Max Dugan Returns', 'My Father the Hero', 'The Baby-Sitters Club', 'Sweet Hearts Dance', 'Blue Car']"
5833,My Neighbor Totoro,"['Spirited Away', 'FernGully: The Last Rainforest', 'Little Women', 'Grave of the Fireflies', 'Pom Poko']"
5834,The Road to Hong Kong,"['Road to Singapore', 'Hillbillys in a Haunted House', 'Unmade Beds', 'A Countess from Hong Kong', 'Better Living']"
5835,Running Time,"[""Buffalo '66"", 'Tough Guys', 'The Loneliness of the Long Distance Runner', 'Commandments', 'Getting Even with Dad']"
5836,The Thief of Bagdad,"['Stripes', 'The Thief of Bagdad', 'Honeysuckle Rose', 'Raining Stones', 'The Other Side of Heaven']"
5837,War and Peace,"['House of Fools', 'Nicholas and Alexandra', 'A Self-Made Hero', 'The White Cliffs of Dover', 'The Life and Death of Colonel Blimp']"
5838,Where Sleeping Dogs Lie,"['When Strangers Appear', 'Frenzy', 'Spooky House', 'The Temp', ""The Cat's Meow""]"
5839,Where’s Poppa?,"['Long Live Death', 'Honeysuckle Rose', 'P.S. Your Cat Is Dead!', 'How to Get Ahead in Advertising', 'Heartbreak Hotel']"
5840,The Whistle Blower,"['Good Guys Wear Black', 'Power 98', 'A Self-Made Hero', 'The Amateur', 'The Life and Death of Colonel Blimp']"
5841,Attack of the Crab Monsters,"['The Island of Dr. Moreau', 'Godzilla', 'Matango: Attack of the Mushroom People', ""April Fool's Day"", 'The 7th Voyage of Sinbad']"
5842,Black Christmas,"['Alone in the Dark', 'Gaslight', 'I Saw What You Did', 'Happy Birthday to Me', 'Where Sleeping Dogs Lie']"
5843,The Day of the Triffids,"['If You Could See What I Hear', ""Class of Nuke 'Em High"", 'Proof', 'Cube²: Hypercube', 'The Puppet Masters']"
5844,Esther Kahn,"['Went to Coney Island on a Mission from God... Be Back by Five', 'The Girl', 'Under The Domim Tree', 'The Proprietor', 'Slaves of New York']"
5845,Invaders from Mars,"['Parents', 'The Subject Was Roses', 'P.S. Your Cat Is Dead!', 'Vanilla Sky', 'Frankenstein Must Be Destroyed']"
5846,The Story of O,"['Und keiner weint mir nach', 'Diebinnen', 'The Cabinet of Dr. Ramirez', 'A Single Girl', 'Steel Magnolias']"
5847,Asoka,"[""What's Eating Gilbert Grape"", 'Hamlet', 'I Come', 'Penitentiary II', 'Far Side of the Moon']"
5848,Fat City,"['The Set-Up', 'Girlfight', 'They Made Me a Criminal', 'Rocky V', 'Ali']"
5849,"Love, Honour and Obey","['The Code', 'American Me', 'Defiance', 'Rumble in the Bronx', 'Corridors of Blood']"
5850,Quicksilver,"['The Inheritance', 'The Truman Show', 'Honeysuckle Rose', 'Penitentiary II', 'P.S. Your Cat Is Dead!']"
5851,Catch Me If You Can,"['How I Killed My Father', 'City By The Sea', 'Corridors of Blood', 'Normal Life', 'Rocket Gibraltar']"
5852,Pinocchio,"['Honeymoon', 'Better Living', 'Salut cousin !', 'Hansel & Gretel', 'Jack and the Beanstalk']"
5853,Chicago,"['Roxie Hart', 'Al Capone', ""Ferris Bueller's Day Off"", 'The Proprietor', 'Slaves of New York']"
5854,The Hours,"['I Love You, I Love You Not', 'Beyond the Clouds', 'Samson and Delilah', 'Mascara', 'Charms For the Easy Life']"
5855,Max,"['Cradle Will Rock', 'The Proprietor', 'Slaves of New York', 'Frida', 'Two Deaths']"
5856,Nicholas Nickleby,"['The Inheritance', 'Benji: Off the Leash!', 'The Visit', 'The Trumpet Of The Swan', 'Bruno']"
5857,The Pianist,"['House of Fools', 'The Fighting Sullivans', ""Schindler's List"", 'Enemy at the Gates', 'Soldier of Orange']"
5858,Sonny,"[""I'll Never Forget What's'isname"", 'Stripes', 'The Glass Menagerie', 'Unstrung Heroes', 'P.S. Your Cat Is Dead!']"
5859,Champagne For Caesar,"['The Hi-Line', 'The Trigger Effect', 'Phantasm IV: Oblivion', 'The Distinguished Gentleman', 'Virtual Sexuality']"
5860,Doppelganger,"['Where Sleeping Dogs Lie', 'Dial M for Murder', 'Dressed to Kill', 'Hellraiser: Inferno', 'Nightwatch']"
5861,Heavy Metal 2000,"['Hawk the Slayer', 'The Beastmaster', 'The Pagemaster', 'Nothing to Lose', 'Rolling Thunder']"
5862,House on the Edge of the Park,"['Maniac', 'Inferno', 'The Wedding Banquet', 'Audition', 'Till Human Voices Wake Us']"
5863,The King of Comedy,"['Nothing in Common', 'Stardust Memories', 'Crane World', 'The Hospital', 'Heaven Can Wait']"
5864,Love Liza,"['Morvern Callar', 'Enemies: A Love Story', 'The Hospital', 'A Rumor of Angels', 'Imaginary Heroes']"
5865,Confessions of a Dangerous Mind,"['The Recruit', 'Double Take', 'Buddy Boy', 'The Whole Ten Yards', 'Sidekicks']"
5866,Abraham's Valley,"['Star Maps', 'How to Deal', 'Dot the I', 'A Swedish Love Story', 'The Crime of Padre Amaro']"
5867,Blue Collar Comedy Tour: The Movie,"['A Decade Under the Influence', 'F for Fake', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Comandante']"
5868,Just Married,"['Miami Rhapsody', 'The Long, Long Trailer', 'The Heartbreak Kid', 'Paradise', 'Fall']"
5869,P.S. Your Cat Is Dead!,"['The Bachelor', 'How to Get Ahead in Advertising', 'Honeysuckle Rose', 'Stripes', 'Sweet Nothing']"
5870,The Son,"['Cyclo', 'Across the Sea of Time', 'Hollow Reed', 'The Good Son', 'Mystery of the Wax Museum']"
5871,The City of Lost Souls,"['Out for a Kill', 'Penitentiary II', 'Police Story 3: Supercop', 'The Yakuza', 'Death Wish 4: The Crackdown']"
5872,Double Whammy,"['Panic', 'Commandments', 'Colonel Chabert', 'P.S. Your Cat Is Dead!', 'Honeysuckle Rose']"
5873,WiseGirls,"['The Waiting Game', 'Novocaine', 'Laws of Attraction', 'Dog Run', 'Milk and Honey']"
5874,A Guy Thing,"['The Bachelor', 'Honeysuckle Rose', 'How to Get Ahead in Advertising', 'Raining Stones', 'P.S. Your Cat Is Dead!']"
5875,Kangaroo Jack,"['Crocodile Dundee II', 'Welcome to Woop Woop', 'City Slickers', 'Midnight Run', 'Mikey and Nicky']"
5876,National Security,"['Triggermen', 'Trixie', 'Gotcha!', 'Lethal Weapon 2', 'Made']"
5877,Big Shot's Funeral,"['Giants and Toys', ""Everybody's Famous!"", 'Honeymoon', 'Better Living', 'Support Your Local Gunfighter']"
5878,City of God,"['Salaam Bombay!', 'Possible Loves', ""Long Night's Journey Into Day"", 'Andrei Rublev', 'Mr. Destiny']"
5879,Divine Intervention,"['Ordinary Sinner', 'The Umbrella Woman', 'The Girl', 'Under The Domim Tree', 'The Proprietor']"
5880,Kira's Reason: A Love Story,"['Breaking Up', 'La Notte', 'Belle Époque', 'Jersey Girl', 'Another You']"
5881,Above Suspicion,"[""What's Eating Gilbert Grape"", 'Next of Kin', 'Goodbye Lover', 'True Confessions', ""Heaven's Prisoners""]"
5882,Alice Adams,"['Mr & Mrs Bridge', 'My Father the Hero', ""Virginia's Run"", 'Somebody Is Waiting', ""You Can't Take It With You""]"
5883,The American Friend,"['Peanuts – Die Bank zahlt alles', ""Ripley's Game"", 'Black Rainbow', 'World Traveler', 'The Hi-Line']"
5884,American Me,"['The Boxer', 'Honeysuckle Rose', 'Third World Cop', 'P.S. Your Cat Is Dead!', 'The Code']"
5885,Band of Outsiders,"['Read My Lips', 'Odds Against Tomorrow', 'Wings of Courage', 'Bird of Prey', 'Bob le Flambeur']"
5886,Breaking Up,"['Snow days', 'Made for Each Other', 'Prelude to a Kiss', 'The Incredibly True Adventure of Two Girls In Love', 'The Girl']"
5887,CB4,"['Only the Strong Survive', 'Joseph and the Amazing Technicolor Dreamcoat', 'The Apple', 'The Rutles: All You Need Is Cash', 'The Five Heartbeats']"
5888,The Deathmaker,"['Honeysuckle Rose', 'Panic', 'Short Time', 'Raining Stones', 'Colonel Chabert']"
5889,Dogfight,"['Puddle Cruiser', 'Spin', 'Honeysuckle Rose', ""Something's Gotta Give"", 'Heartbreak Ridge']"
5890,"Easy Come, Easy Go","['Joseph and the Amazing Technicolor Dreamcoat', 'The Apple', ""Mr. Holland's Opus"", 'Blue Hawaii', 'Schultze Gets the Blues']"
5891,Fun in Acapulco,"['Black Sheep', 'F/X2', 'Gabriela', 'Starstruck', 'Son of Paleface']"
5892,Girls! Girls! Girls!,"['Honeysuckle Rose', ""What's Eating Gilbert Grape"", 'Blue Hawaii', 'Nothing in Common', 'Stardust Memories']"
5893,Imitation of Life,"['Father of the Bride', 'Max Dugan Returns', 'An American Rhapsody', 'Unhook the Stars', 'All That Heaven Allows']"
5894,A Little Romance,"['Pie in the Sky', 'Splendor in the Grass', ""L'eclisse"", ""Jason's Lyric"", 'Nicholas Nickleby']"
5895,Mystery Date,"['The Pallbearer', 'Striking Distance', 'Honeysuckle Rose', 'How to Get Ahead in Advertising', 'Commandments']"
5896,"Paradise, Hawaiian Style","['Blue Hawaii', 'Snow days', 'The Boys from County Clare', 'Hans Christian Andersen', 'Holiday Inn']"
5897,Pépé le Moko,"['Algiers', 'Gorky Park', 'The Fantastic Night', 'Hard Boiled', 'Le Divorce']"
5898,Secret Admirer,"['The Love Letter', 'Snow days', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'True Love', 'Teen Wolf']"
5899,Summer Lovers,"['Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Tempest', 'True Love', 'Charlotte Sometimes', 'Surviving Picasso']"
5900,Tune in Tomorrow...,"['A Song for Martin', 'Und keiner weint mir nach', 'Diebinnen', 'The Girl', 'The Return of Martin Guerre']"
5901,The Woman in Red,"['About Last Night...', 'Snow days', 'Crimes and Misdemeanors', 'Afterglow', 'That Uncertain Feeling']"
5902,Darkness Falls,"['Long Time Dead', 'You Light Up My Life', 'The Sleepover', ""Child's Play 3"", 'The Grudge']"
5903,Amen.,"['Mephisto', 'Before the Fall', 'Mother Night', 'Night and Fog', 'Train of Life']"
5904,Blind Spot: Hitler's Secretary,"['The Architecture of Doom', 'Downfall', 'The Desert Fox: The Story of Rommel', 'The Empty Mirror', 'Southern Comfort']"
5905,In the Mirror of Maya Deren,"['A Decade Under the Influence', ""It's All True"", '28 Up', 'F for Fake', 'Fahrenhype 9/11']"
5906,Blind Date,"['At First Sight', 'The Unsaid', 'Inferno', 'The Village', 'Dr. T and the Women']"
5907,Bullet,"[""Carlito's Way"", 'Lockdown', 'Super Fly', 'Death Warrant', 'In Hell']"
5908,Claudine,"['Moscow Does Not Believe in Tears', 'Dil Se..', 'Snow days', 'Stardust Memories', 'Jersey Girl']"
5909,Dead Reckoning,"['Gilda', 'Laura', 'Electra Glide in Blue', 'By the Sword', 'Shock Corridor']"
5910,The Devil at 4 O'Clock,"['When Time Ran Out...', 'Molokai: The Story of Father Damien', 'Hot Shots! Part Deux', 'Lord of the Flies', 'No Escape']"
5911,Ethan Frome,"['The Innocent', 'Written on the Wind', 'Pastoral Symphony', 'The Age of Innocence', 'Heaven']"
5912,Gus,"['The Bad News Bears', 'Necessary Roughness', 'Little Giants', 'Better Living', 'Sunset Park']"
5913,The Harder They Come,"['The Apple', 'Valley of the Dolls', 'Only the Strong Survive', ""Jesus' Son"", 'Purple Rain']"
5914,The Horse in the Gray Flannel Suit,"['Hot to Trot', 'Valentin', 'Carousel', 'Our Hospitality', 'Like Father Like Son']"
5915,Krush Groove,"['Purple Rain', 'The Bonfire of the Vanities', 'On Moonlight Bay', 'A Place in the Sun', 'Selena']"
5916,The Moon-Spinners,"['Nicholas Nickleby', 'Fear', 'The Trumpet Of The Swan', 'The Haunted Mansion', 'Love In Bloom']"
5917,Sugar Hill,"['Shadows', 'WiseGirls', 'Hamlet from the Lunt-Fontanne Theatre', 'Never Met Picasso', 'The Indian Runner']"
5918,Chaos,"['Dry Cleaning', 'Personal Velocity', 'Les Dames du Bois de Boulogne', 'Modern Times', 'Ouch']"
5919,Biker Boyz,"['The Wild One', 'Touki Bouki', 'The Born Losers', 'Rockers', 'The Motorcycle Diaries']"
5920,Final Destination 2,"['Final Destination', 'The Bat', 'Diamonds', 'Sherlock Holmes and the Voice of Terror', 'The Maltese Falcon']"
5921,The Recruit,"['Three Days of the Condor', 'Spy Game', 'Company Man', 'The Amateur', 'Cloak & Dagger']"
5922,The Guru,"['Pursuit of Happiness', 'Brighton Beach Memoirs', 'Honeysuckle Rose', 'Harry and Tonto', 'Just Looking']"
5923,Kedma,"['Exodus', 'Cast a Giant Shadow', 'The Long Way Home', 'How I Won the War', 'Und keiner weint mir nach']"
5924,Lost in La Mancha,"['Comandante', 'F for Fake', 'Condo Painting', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'The Show']"
5925,May,"['The Girl', 'When Strangers Appear', 'When Will I Be Loved', 'Popcorn', 'La Cucaracha']"
5926,The Harder They Fall,"['Gladiator 1992', 'Spin', 'Dogfight', 'Interview with the Assassin', 'Honeysuckle Rose']"
5927,I'm All Right Jack,"['Colonel Chabert', 'Honeysuckle Rose', 'Lost Embrace', 'Commandments', 'How to Get Ahead in Advertising']"
5928,Murder by Decree,"['The Seven-Per-Cent Solution', 'They Might Be Giants', 'Without a Clue', 'The Private Life of Sherlock Holmes', 'Sherlock Holmes and the Secret Weapon']"
5929,Ordinary Decent Criminal,"['Better Living', ""L'associé"", 'Snow days', 'Forget Baghdad: Jews and Arabs - The Iraqi Connection', 'Tainted']"
5930,Pursued,"['The Girl', 'The Proprietor', 'Slaves of New York', 'Love Me Tender', 'Und keiner weint mir nach']"
5931,The Smallest Show on Earth,"['Lost Embrace', 'Elling', 'Cinderfella', 'A Thousand Clowns', 'Easy Money']"
5932,Tokyo Decadence,"['Black Rain', 'The Yakuza', 'Dead or Alive', 'Boiling Point', 'Scarlet Diva']"
5933,Two Way Stretch,"['Bullet', 'Mean Machine', 'Prison', '48 Hrs.', 'In Hell']"
5934,The Unfaithful Wife,"['The Rachel Papers', 'About Schmidt', 'The Amateur', 'Twice Upon a Yesterday', 'The Last Time I Saw Paris']"
5935,Victim,"['The Proprietor', 'Slaves of New York', 'Beautiful Thing', 'Bad Company', 'Storyville']"
5936,Endangered Species,"['Past Midnight', 'Impulse', 'Deadly Blessing', 'The Maltese Falcon', 'Sleepy Hollow']"
5937,The Simple-Minded Murderer,"['After the Rehearsal', 'Anna Karenina', 'Wild Boys of the Road', 'Babe: Pig in the City', 'BUtterfield 8']"
5938,Enigma,"['Hamilton', 'Company Business', 'Black Sunday', 'Executive Action', 'Ballistic: Ecks vs. Sever']"
5939,Evil Under the Sun,"['Murder on the Orient Express', 'They Made Me a Criminal', 'Double Jeopardy', 'The Big Combo', ""The Mirror Crack'd""]"
5940,Firefox,"['Macross Plus: Movie Edition', 'Breakout', 'The Hunters', 'Iron Eagle II', 'Megiddo: The Omega Code 2']"
5941,Five Days One Summer,"['The Proprietor', 'Slaves of New York', 'Dragonfly', 'Enemies: A Love Story', 'The Secret Lives of Dentists']"
5942,Forced Vengeance,"['Walking Tall', 'Scaramouche', 'Act of Violence', 'Ride the High Country', 'Fury']"
5943,The Gendarme and the Gendarmettes,"['The Glass Shield', 'Fort Apache, the Bronx', 'The Wrong Arm of the Law', 'Miss Congeniality', 'Salut cousin !']"
5944,The Grey Fox,"['Tap', 'Leonard Part 6', ""Hell's Kitchen"", 'Being There', 'The Man from Beyond']"
5945,Hammett,"['Secret Window', 'Her Alibi', 'Where Sleeping Dogs Lie', 'The Life of Emile Zola', 'Bloodhounds of Broadway']"
5946,Honkytonk Man,"['A Hole in the Head', 'Garage Days', 'Pennies from Heaven', 'Prince of Central Park', 'Daddy and Them']"
5947,Human Highway,"['Bruno', 'In the Soup', 'CQ', 'Alfie', 'The Little Shop of Horrors']"
5948,"I, the Jury","['F/X2', 'Someone to Watch Over Me', ""River's Edge"", 'Gorky Park', 'Traces of Red']"
5949,If You Could See What I Hear,"['Proof', 'Went to Coney Island on a Mission from God... Be Back by Five', 'A Patch of Blue', 'The Proprietor', 'Slaves of New York']"
5950,Jekyll and Hyde ... Together Again,"['Dr. Jekyll and Mr. Hyde', 'Dr. Jekyll and Mr. Hyde', 'The Apple', 'Abbott and Costello Meet Dr. Jekyll and Mr. Hyde', 'The Book of Fate']"
5951,Jönssonligan & DynamitHarry,"['Stinsen brinner... filmen alltså', 'My Life as a Dog', 'Honeymoon', 'Leif', 'A Hole in My Heart']"
5952,Kiss Me Goodbye,"['Shock', 'Ghostbusters II', 'Nola', 'Snow days', 'Lucas']"
5953,Labyrinth of Passion,"['The Broken Hearts Club: A Romantic Comedy', 'The Birdcage', 'The Gay Deceivers', 'Boat Trip', 'Dark Habits']"
5954,The Last American Virgin,"['Foxes', 'Whatever', 'Just a Little Harmless Sex', 'Trainspotting', ""Jesus' Son""]"
5955,The Last Unicorn,"['Siegfried & Roy: The Magic Box', 'Shrek 2', 'Beauty and the Beast', 'All Dogs Go to Heaven 2', 'King Ralph']"
5956,Liquid Sky,"['The Brother from Another Planet', 'Invisible Invaders', 'Cabbage Soup', 'Alien Nation', 'Nowhere']"
5957,Dragon Lord,"['Once Upon a Time in China', 'Bronco Billy', 'Stark Raving Mad', 'Once Upon a Time in China III', 'Reign of Fire']"
5958,Making Love,"['The Girl', 'Maurice', 'Nothing in Common', 'The Proprietor', 'Slaves of New York']"
5959,Manhattan Baby,"['The Awakening', 'Witchboard', 'The Boogey Man', 'Love In Bloom', 'Inferno']"
5960,The Marathon Family,"['Eulogy', 'No Looking Back', 'House II: The Second Story', ""McHale's Navy"", 'Around the Bend']"
5961,Megaforce,"['The Son of Kong', 'Baby: Secret of the Lost Legend', 'The Book of Fate', 'Babylon 5: The River of Souls', 'Small Soldiers']"
5962,A Midsummer Night's Sex Comedy,"['Enemies: A Love Story', 'About Schmidt', 'Stardust Memories', 'How to Get Ahead in Advertising', 'The Abominable Dr. Phibes']"
5963,Missing,"['Character', 'Wilson', 'Winter Solstice', 'Splitting Heirs', 'Hard to Kill']"
5964,The Missionary,"['Stardust Memories', 'P.S. Your Cat Is Dead!', 'How to Get Ahead in Advertising', 'The Amazing Quest of Ernest Bliss', 'General Idi Amin Dada']"
5965,Monsignor,"['Midway', 'The Young Lions', 'Chicago Joe and the Showgirl', 'The Cardinal', 'A Self-Made Hero']"
